Timestamp,mean_temp_cor,year,month,day,timestep
2002-03-10,3.299999952316284,2002,3,10,433
2002-03-11,2.799999952316284,2002,3,11,434
2002-03-12,4.0,2002,3,12,435
2002-03-13,2.799999952316284,2002,3,13,436
2002-03-14,0.5,2002,3,14,437
2002-03-15,-1.3000000715255737,2002,3,15,438
2002-03-16,0.9000000357627869,2002,3,16,439
2002-03-17,2.700000047683716,2002,3,17,440
2002-03-18,6.200000286102295,2002,3,18,441
2002-03-19,10.100000381469727,2002,3,19,442
2002-03-20,5.800000190734863,2002,3,20,443
2002-03-21,2.4000000953674316,2002,3,21,444
2002-03-22,1.3000000715255737,2002,3,22,445
2002-03-23,1.399999976158142,2002,3,23,446
2002-03-24,0.20000000298023224,2002,3,24,447
2002-03-25,-1.0,2002,3,25,448
2002-03-26,-0.4000000059604645,2002,3,26,449
2002-03-27,1.399999976158142,2002,3,27,450
2002-03-28,5.200000286102295,2002,3,28,451
2002-03-29,6.099999904632568,2002,3,29,452
2002-03-30,5.800000190734863,2002,3,30,453
2002-03-31,5.0,2002,3,31,454
2002-04-01,1.2000000476837158,2002,4,1,455
2002-04-02,3.799999952316284,2002,4,2,456
2002-04-03,2.9000000953674316,2002,4,3,457
2002-04-04,2.0,2002,4,4,458
2002-04-05,-0.699999988079071,2002,4,5,459
2002-04-06,-0.10000000149011612,2002,4,6,460
2002-04-07,2.9000000953674316,2002,4,7,461
2002-04-08,4.099999904632568,2002,4,8,462
2002-04-09,5.800000190734863,2002,4,9,463
2002-04-10,5.200000286102295,2002,4,10,464
2002-04-11,8.0,2002,4,11,465
2002-04-12,12.40000057220459,2002,4,12,466
2002-04-13,11.600000381469727,2002,4,13,467
2002-04-14,8.199999809265137,2002,4,14,468
2002-04-15,9.0,2002,4,15,469
2002-04-16,7.700000286102295,2002,4,16,470
2002-04-17,3.299999952316284,2002,4,17,471
2002-04-18,4.599999904632568,2002,4,18,472
2002-04-19,8.199999809265137,2002,4,19,473
2002-04-20,4.700000286102295,2002,4,20,474
2002-04-21,8.300000190734863,2002,4,21,475
2002-04-22,10.300000190734863,2002,4,22,476
2002-04-23,10.90000057220459,2002,4,23,477
2002-04-24,12.300000190734863,2002,4,24,478
2002-04-25,9.40000057220459,2002,4,25,479
2002-04-26,11.40000057220459,2002,4,26,480
2002-04-27,13.0,2002,4,27,481
2002-04-28,8.5,2002,4,28,482
2002-04-29,8.199999809265137,2002,4,29,483
2002-04-30,10.800000190734863,2002,4,30,484
2002-05-01,10.90000057220459,2002,5,1,485
2002-05-02,15.40000057220459,2002,5,2,486
2002-05-03,18.600000381469727,2002,5,3,487
2002-05-04,20.100000381469727,2002,5,4,488
2002-05-05,20.200000762939453,2002,5,5,489
2002-05-06,11.100000381469727,2002,5,6,490
2002-05-07,13.90000057220459,2002,5,7,491
2002-05-08,17.80000114440918,2002,5,8,492
2002-05-09,14.40000057220459,2002,5,9,493
2002-05-10,14.40000057220459,2002,5,10,494
2002-05-11,14.199999809265137,2002,5,11,495
2002-05-12,17.399999618530273,2002,5,12,496
2002-05-13,18.100000381469727,2002,5,13,497
2002-05-14,15.90000057220459,2002,5,14,498
2002-05-15,14.40000057220459,2002,5,15,499
2002-05-16,11.40000057220459,2002,5,16,500
2002-05-17,10.800000190734863,2002,5,17,501
2002-05-18,8.90000057220459,2002,5,18,502
2002-05-19,8.300000190734863,2002,5,19,503
2002-05-20,8.40000057220459,2002,5,20,504
2002-05-21,11.5,2002,5,21,505
2002-05-22,15.300000190734863,2002,5,22,506
2002-05-23,17.30000114440918,2002,5,23,507
2002-05-24,16.200000762939453,2002,5,24,508
2002-05-25,13.600000381469727,2002,5,25,509
2002-05-26,15.800000190734863,2002,5,26,510
2002-05-27,17.899999618530273,2002,5,27,511
2002-05-28,17.399999618530273,2002,5,28,512
2002-05-29,17.30000114440918,2002,5,29,513
2002-05-30,17.700000762939453,2002,5,30,514
2002-05-31,15.100000381469727,2002,5,31,515
2002-06-01,12.90000057220459,2002,6,1,516
2002-06-02,15.0,2002,6,2,517
2002-06-03,15.5,2002,6,3,518
2002-06-04,17.899999618530273,2002,6,4,519
2002-06-05,19.100000381469727,2002,6,5,520
2002-06-06,17.5,2002,6,6,521
2002-06-07,16.700000762939453,2002,6,7,522
2002-06-08,18.899999618530273,2002,6,8,523
2002-06-09,19.30000114440918,2002,6,9,524
2002-06-10,17.899999618530273,2002,6,10,525
2002-06-11,19.399999618530273,2002,6,11,526
2002-06-12,17.5,2002,6,12,527
2002-06-13,15.5,2002,6,13,528
2002-06-14,12.199999809265137,2002,6,14,529
2002-06-15,16.5,2002,6,15,530
2002-06-16,15.199999809265137,2002,6,16,531
2002-06-17,17.100000381469727,2002,6,17,532
2002-06-18,20.200000762939453,2002,6,18,533
2002-06-19,22.700000762939453,2002,6,19,534
2002-06-20,19.100000381469727,2002,6,20,535
2002-06-21,20.200000762939453,2002,6,21,536
2002-06-22,15.300000190734863,2002,6,22,537
2002-06-23,13.40000057220459,2002,6,23,538
2002-06-24,14.5,2002,6,24,539
2002-06-25,15.699999809265137,2002,6,25,540
2002-06-26,14.600000381469727,2002,6,26,541
2002-06-27,15.0,2002,6,27,542
2002-06-28,14.5,2002,6,28,543
2002-06-29,13.199999809265137,2002,6,29,544
2002-06-30,14.199999809265137,2002,6,30,545
2002-07-01,13.600000381469727,2002,7,1,546
2002-07-02,16.30000114440918,2002,7,2,547
2002-07-03,19.0,2002,7,3,548
2002-07-04,20.80000114440918,2002,7,4,549
2002-07-05,16.30000114440918,2002,7,5,550
2002-07-06,17.200000762939453,2002,7,6,551
2002-07-07,19.600000381469727,2002,7,7,552
2002-07-08,18.100000381469727,2002,7,8,553
2002-07-09,19.600000381469727,2002,7,9,554
2002-07-10,23.30000114440918,2002,7,10,555
2002-07-11,25.200000762939453,2002,7,11,556
2002-07-12,19.600000381469727,2002,7,12,557
2002-07-13,18.80000114440918,2002,7,13,558
2002-07-14,19.80000114440918,2002,7,14,559
2002-07-15,21.30000114440918,2002,7,15,560
2002-07-16,20.80000114440918,2002,7,16,561
2002-07-17,21.5,2002,7,17,562
2002-07-18,23.30000114440918,2002,7,18,563
2002-07-19,25.600000381469727,2002,7,19,564
2002-07-20,24.100000381469727,2002,7,20,565
2002-07-21,18.80000114440918,2002,7,21,566
2002-07-22,18.700000762939453,2002,7,22,567
2002-07-23,17.100000381469727,2002,7,23,568
2002-07-24,18.5,2002,7,24,569
2002-07-25,17.899999618530273,2002,7,25,570
2002-07-26,17.100000381469727,2002,7,26,571
2002-07-27,16.700000762939453,2002,7,27,572
2002-07-28,19.80000114440918,2002,7,28,573
2002-07-29,22.30000114440918,2002,7,29,574
2002-07-30,25.100000381469727,2002,7,30,575
2002-07-31,27.5,2002,7,31,576
2002-08-01,26.80000114440918,2002,8,1,577
2002-08-02,23.100000381469727,2002,8,2,578
2002-08-03,21.100000381469727,2002,8,3,579
2002-08-04,20.80000114440918,2002,8,4,580
2002-08-05,20.0,2002,8,5,581
2002-08-06,18.700000762939453,2002,8,6,582
2002-08-07,18.200000762939453,2002,8,7,583
